train_step,time_steps,ppo_epochs,avg_policy_loss,avg_value_loss,avg_entropy,avg_kl
148,20344,4,-0.081110,3.691080,0.656668,0.000640
152,20844,4,-0.076342,3.958983,0.812055,0.000489
156,21351,4,-0.071627,16.047335,0.795441,0.001111
160,21858,4,-0.068591,11.801438,0.715852,0.000089
164,22355,4,-0.070986,12.716478,0.671671,0.000652
168,22877,4,-0.066751,5.637670,0.835081,0.002189
172,23384,4,-0.072138,7.313504,0.798920,0.004808
176,23857,4,-0.085825,3.193984,0.939242,0.001556
180,24349,4,-0.072410,6.407042,0.897342,0.000793
184,24839,4,-0.088786,1.706905,0.885898,0.000907
188,25321,4,-0.088368,1.254163,0.829587,0.003009
192,25808,4,-0.079510,6.129424,0.927124,0.000403
196,26287,4,-0.084288,1.117402,0.807231,0.000187
200,26766,4,-0.088194,0.848440,0.896794,0.000402
204,27248,4,-0.085513,10.830345,0.867786,0.002042
208,27710,4,-0.087503,0.763832,0.930020,0.002380
212,28175,4,-0.083979,1.150467,0.867179,0.001887
216,28680,4,-0.087418,1.312083,0.918427,0.002186
220,29169,4,-0.087168,1.131509,0.862533,0.000780
224,29668,4,-0.077912,5.709036,0.927150,0.000910
228,30176,4,-0.083835,1.331232,0.750091,0.002778
232,30676,4,-0.078393,1.111310,0.768732,0.001848
236,31181,4,-0.070039,6.057622,0.738198,0.000714
240,31689,4,-0.073843,5.631630,0.871909,0.002548
244,32198,4,-0.085145,0.732477,0.871339,0.001407
248,32727,4,-0.083672,1.136930,0.376683,0.000383
252,33238,4,-0.078335,5.386175,0.933603,0.001640
256,33725,4,-0.081188,6.055370,0.942009,0.000894
260,34229,4,-0.091922,1.127555,0.840908,0.001913
264,34740,4,-0.092455,0.850687,0.839977,0.002428
268,35266,4,-0.080095,5.612957,0.805433,0.001145
272,35794,4,-0.080007,5.284508,0.997825,0.000756
276,36333,4,-0.079623,5.782160,0.918395,0.001997
280,36900,4,-0.081155,5.701252,0.451808,0.004523
284,37413,4,-0.098273,1.640891,0.864352,0.001958
288,37920,4,-0.100061,1.279794,1.085019,0.003708
292,38422,4,-0.092574,0.725965,1.042210,0.001657
296,38934,4,-0.092322,1.016640,0.917578,0.001309
300,39436,4,-0.093159,10.785773,0.897713,0.002631
304,39939,4,-0.090155,0.745058,0.837739,0.000585
308,40444,4,-0.093683,0.668807,1.009236,0.003091
312,40998,4,-0.076401,5.542534,0.412589,0.000877
316,41516,4,-0.088922,1.125496,0.907114,0.000586
320,42036,4,-0.087518,0.781044,0.858380,0.000802
324,42567,4,-0.086103,0.800615,0.868789,0.000470
0,875,4,-0.089410,1.051936,0.633185,0.004155
4,1903,4,-0.074609,0.611052,0.646093,0.001169
8,2613,4,-0.094651,1.548375,0.553949,0.001890
12,3289,4,-0.094766,0.639620,0.584737,0.001717
16,3921,4,-0.095566,0.792775,0.504975,0.001307
20,4504,4,-0.095462,0.662202,0.466208,0.001391
24,5047,4,-0.098233,0.642568,0.752349,0.002679
28,5554,4,-0.097435,0.872982,0.959289,0.002582
32,6037,4,-0.092837,0.764634,0.946299,0.001187
36,6509,4,-0.095568,0.540546,0.993371,0.000651
40,6990,4,-0.090747,0.445534,0.910385,0.000428
44,7516,4,-0.089728,0.460463,0.400278,0.000724
48,8014,4,-0.089539,0.402084,0.377156,0.001282
52,8492,4,-0.090640,0.445008,0.760316,0.001271
56,8957,4,-0.095188,0.284625,0.968419,0.002679
60,9477,4,-0.086014,0.582111,0.388072,0.000749
64,9955,4,-0.090819,0.279044,0.931180,0.000309
68,10429,4,-0.089254,3.968101,0.948662,0.003158
72,10900,4,-0.095575,0.248462,0.863739,0.002146
76,11367,4,-0.089195,0.241221,0.832930,0.002000
80,11836,4,-0.090837,0.160644,1.005834,0.000504
84,12322,4,-0.094854,0.254265,0.995644,0.000721
88,12792,4,-0.094565,0.272054,0.992244,0.000817
92,13271,4,-0.091237,0.334170,0.906696,0.000890
96,13754,4,-0.096323,0.210522,0.993152,0.001173
100,14222,4,-0.098641,0.152995,0.990482,0.002163
104,14689,4,-0.101995,0.201332,0.977505,0.001488
108,15149,4,-0.099796,0.200926,1.118740,0.001313
112,15626,4,-0.103115,0.208252,1.046342,0.000801
116,16094,4,-0.099124,0.248488,1.027165,0.002302
120,16565,4,-0.094569,0.224703,0.940909,0.001342
124,17037,4,-0.093312,0.227476,0.912701,0.002139
128,17559,4,-0.087955,0.171816,0.397638,0.000650
132,18058,4,-0.087421,3.612761,0.873820,0.000567
136,18544,4,-0.096605,0.229909,1.023642,0.001694
140,19026,4,-0.093630,0.216218,0.861203,0.000919
144,19533,4,-0.089937,3.463143,0.949224,0.000909
148,20061,4,-0.083196,3.028702,0.404368,0.001757
152,20564,4,-0.085375,2.965781,0.892524,0.001589
156,21057,4,-0.091039,0.240933,0.965272,0.000509
160,21555,4,-0.093122,0.193810,0.909061,0.001198
164,22057,4,-0.094405,0.158960,0.951496,0.000990
168,22553,4,-0.096359,0.145009,1.023040,0.000455
172,23042,4,-0.098543,0.143943,1.051677,0.002159
0,732,5,-0.020753,0.321966,0.559916,0.005205
1,1407,5,-0.019846,0.353413,0.518639,0.004074
2,2024,5,-0.018567,0.182716,0.508206,0.004722
3,2596,5,-0.021065,0.254197,0.474496,0.003612
4,3199,5,-0.021671,0.198095,0.430565,0.004068
5,3767,5,-0.020328,0.400039,0.403921,0.003550
6,4336,5,-0.016458,0.236451,0.354761,0.003283
7,4843,5,-0.014228,0.851719,0.485323,0.002987
0,752,5,-0.020019,0.377396,0.593400,0.004668
1,1448,5,-0.018036,0.437418,0.559887,0.005046
2,2038,5,-0.019401,0.239986,1.053493,0.003543
3,2688,5,-0.016581,0.280429,0.504011,0.002916
4,3259,5,-0.018476,0.392890,0.577623,0.004589
5,3822,5,-0.015880,0.356090,0.788047,0.002972
6,4387,5,-0.017002,0.434109,0.435861,0.003275
7,4906,5,-0.017902,0.338713,0.872352,0.003795
8,5402,5,-0.015650,0.601098,0.903576,0.004191
9,5897,5,-0.014570,0.656094,0.905006,0.002079
10,6400,5,-0.015355,0.623837,0.693735,0.004502
11,6902,5,-0.012395,5.133588,0.740352,0.000670
12,7457,5,-0.010733,13.209274,0.307575,0.001692
13,7959,5,-0.011703,14.676459,0.636737,0.002873
14,8456,5,-0.012590,0.465313,0.644414,0.002297
15,8978,5,-0.011721,19.056819,0.544617,0.002059
16,9483,5,-0.011046,8.971121,0.543962,0.002127
17,10047,5,-0.011300,16.634096,0.252136,0.002032
18,10590,5,-0.007103,4.716499,0.474244,0.000600
19,11110,5,-0.007810,4.518120,0.492146,0.000880
20,11669,5,-0.008514,8.445853,0.436909,0.001489
21,12201,5,-0.009349,9.280000,0.341393,0.001867
22,12788,5,-0.006999,12.382338,0.330490,0.001962
23,13346,5,-0.007646,12.364232,0.308644,0.000772
24,13896,5,-0.008987,20.497027,0.308495,0.002001
25,14433,5,-0.005730,17.422266,0.267828,0.000785
26,14991,5,-0.005916,8.916343,0.219005,0.001339
27,15571,5,-0.004663,8.108438,0.237649,0.000460
28,16150,5,-0.007835,33.761796,0.243705,0.000573
29,16728,5,-0.006556,15.336855,0.196025,0.000694
30,17316,5,-0.009090,18.432579,0.226176,0.000860
31,17894,5,-0.007134,15.282936,0.197469,0.001122
32,18483,5,-0.005605,11.705109,0.169713,0.000664
33,19087,5,-0.006551,28.672647,0.161809,0.000338
34,19685,5,-0.008303,18.443050,0.148659,0.001624
35,20274,5,-0.009075,30.955608,0.174661,0.000850
36,20855,5,-0.007948,36.679482,0.186872,0.000812
37,21458,5,-0.004542,29.408869,0.169092,0.000350
38,22047,5,-0.006091,26.693457,0.179221,0.000688
39,22638,5,-0.006190,17.301329,0.148343,0.000811
40,23278,5,-0.004757,30.496320,0.160933,0.001162
41,23901,5,-0.003336,22.720789,0.146359,0.000265
42,24513,5,-0.004851,29.838502,0.141070,0.000426
43,25112,5,-0.006746,22.410261,0.125039,0.000718
44,25742,5,-0.002361,21.717904,0.096650,0.000418
45,26339,5,-0.002891,30.148808,0.106130,0.000605
46,26923,5,-0.003945,21.690006,0.100814,0.000773
47,27531,5,-0.003032,35.058170,0.118276,0.000506
48,28112,5,-0.003986,22.118649,0.098077,0.001434
49,28717,5,-0.002538,43.249055,0.111003,0.000325
50,29344,5,-0.002468,15.775320,0.104706,0.000355
51,29966,5,-0.002962,29.223006,0.118516,0.000209
52,30575,5,-0.005232,24.127911,0.102703,0.000638
53,31198,5,-0.001763,35.405659,0.088523,0.000541
54,31798,5,-0.002670,29.621461,0.097080,0.000358
55,32391,5,-0.002218,37.614032,0.106207,0.000199
56,32997,5,-0.001675,33.506423,0.103786,0.000053
57,33584,5,-0.002729,31.056137,0.093669,0.000215
58,34187,5,-0.002494,40.608528,0.111518,0.000166
59,34799,5,-0.001696,39.466170,0.108171,0.000152
