Steps,Win_Rate,Avg_Reward
667,0.0,3.5835616438356155
1282,0.0,0.0
1949,0.0,0.0
2620,0.0,3.6383561643835614
3394,0.0,5.002739726027397
4265,0.0,2.8931506849315065
